staff_id,first_name,last_name,email,phone,active,store_name,manager_id,extraction_timestamp,data_source
1,Fabiola,Jackson,fabiola.jackson@bikes.shop,,1,,,2026-04-01 21:38:58.421075,DataLake
2,Mireya,,mireya.copeland@bikes.shop,(831) 555-5555,1,Santa Cruz Bikes,1.0,2026-04-01 21:38:58.421075,DataLake
3,Genna,Serrano,genna.serrano@bikes.shop,(831) 555-5556,1,Santa Cruz Bikes,2.0,2026-04-01 21:38:58.421075,DataLake
4,Virgie,Wiggins,virgie.wiggins@bikes.shop,(831) 555-5557,1,Santa Cruz Bikes,2.0,2026-04-01 21:38:58.421075,DataLake
5,Jannette,David,jannette.david@bikes.shop,(516) 379-4444,1,Baldwin Bikes,1.0,2026-04-01 21:38:58.421075,DataLake
6,Marcelene,Boyer,,(516) 379-4445,1,Baldwin Bikes,5.0,2026-04-01 21:38:58.421075,DataLake
7,Venita,Daniel,venita.daniel@bikes.shop,,1,Baldwin Bikes,5.0,2026-04-01 21:38:58.421075,DataLake
8,Kali,Vargas,kali.vargas@bikes.shop,(972) 530-5555,1,Rowlett Bikes,1.0,2026-04-01 21:38:58.421075,DataLake
9,Layla,Terrell,layla.terrell@bikes.shop,(972) 530-5556,1,Rowlett Bikes,7.0,2026-04-01 21:38:58.421075,DataLake
10,Bernardine,Houston,bernardine.houston@bikes.shop,(972) 530-5557,1,Rowlett Bikes,7.0,2026-04-01 21:38:58.421075,DataLake
